;buch einfach thema;genau verstehen passiert;leben welt wahrheit;matrix ähm heißt;sehen weiß nehmen
20211120_DRACHENTOTER_TV_TREACHEROUS_ASSASSINATIONS_ON_THOMAS_VEIT_-_REASON_OF_CORONA_MEASURES_-_THE_GODFATHER_FEAR_THE_TRUTH_18cS96b2s3U.transcript;0.00025157230000000003;0.9134591195;0.00025157230000000003;0.00025157230000000003;0.0857861635
20211123_DRACHENTOTER_TV_GEFANGNISPLANET_-_Damonen_in_Menschengestalt_fuhren_Krieg_gegen_Thomas_Veit_und_die_Menschheit__f8ZKGvqnWts.transcript;0.0004819277;0.3426506024;0.2125301205;0.15469879520000002;0.2896385542
20211201_DRACHENTOTER_TV_Transcendence_-_Durchschaue_den_Plan_DER_VORGESETZTEN_DER_ELITE_NWO_NeueZeit_WeltimWandel_NsGGLWKIrnM.transcript;0.0257463884;0.284494382;0.20873194220000002;0.40841091490000003;0.0726163724
20211203_DRACHENTOTER_TV_Die_WIDARkunft_-_der_Hauptgrund_der_Corona_Manahmen_-_lat._corona__Belagerungsring_JrezMoan7h0.transcript;0.0027672956;0.908427673;0.00025157230000000003;0.00025157230000000003;0.0883018868
20211207_DRACHENTOTER_TV_Eckhart_Tolle_Bahar_Yilmaz_Bruno_Wurtenberger_Alexander_Wagandt...._SIND_PROGRAMME_DER_MATRIX_bKtDmdwnxXU.transcript;0.0286235741;0.2759239544;0.1180532319;0.4523498099;0.1250494297
20211208_DRACHENTOTER_TV_HALO-Lichteffekt_CORONAProgrammierung_der_Zuschauer_im_Kreis_mit_Wortern_UmgangMitInformationen_iTjvOdYoVbE.transcript;0.0325910216;0.29204665960000004;0.1916578296;0.3549664192;0.12873807
20211208_DRACHENTOTER_TV_Thomas_Veit_widerspricht_sich_DIE_Wahrheit_wirkt_auf_Intelligenz_THOR-heit_wie_ein_WIDAR-Spruch_ZvN_exsAWzE.transcript;0.0828229028;0.1414114514;0.303861518;0.0774966711;0.3944074567
20211210_DRACHENTOTER_TV_Die_Menschheit_loscht_sich_komplett_selbst_aus_indem_sie_sich_informiertimpfformiertprogrammiert_MWdoaCwLG1s.transcript;0.0008230453;0.2312757202;0.3711934156;0.1325102881;0.26419753090000003
20211213_DRACHENTOTER_TV_2020_Die_Herrschaft_der_dRACHEn_Der_Tod_kommt_aus_der_Tiefe_des_RACHEns_-_spRACHE_ist_kein_Wissen_KXc_hH_BDRM.transcript;0.0396144578;0.3962409639;0.1629879518;0.1157590361;0.2853975904
20211213_DRACHENTOTER_TV_COMPACT_eingeSCHENKt_Schau_mir_zu_schau_mir_ganz_fest_zu...._dD1iKzA_XPg.transcript;0.0492753623;0.29082125600000003;0.16521739130000002;0.4937198068;0.0009661836
20211215_DRACHENTOTER_TV_ANGRIFF_auf_DAS_LEBEN_von_Thomas_Veit_-_Kapitan_Paul_-_Teil1_9LIIxkjokFY.transcript;0.03847487;0.19445407280000002;0.1528596187;0.0939341421;0.5202772964
20211215_DRACHENTOTER_TV_ANGRIFF_auf_DAS_LEBEN_von_Thomas_Veit_-_Kapitan_Paul_-_Teil2_i8SE-fMUy2c.transcript;0.0616088947;0.16625245260000002;0.0838456508;0.0158273381;0.6724656638000001
20211215_DRACHENTOTER_TV_ES_GEHT_UM_ALLES_0_a0UfH2vX4.transcript;0.0542071882;0.3095983087;0.1362367865;0.0702748414;0.4296828753
